repo,module,category,parent_module,energy,view
black,typing,stdlib,black.report,79074.28373953988,nested
black,annotationlib,stdlib,black.report,72876.01925141057,nested
black,reprlib,stdlib,black.report,59849.410410531076,nested
black,black.report,internal,,6358.228623766712,flat
black,black.debug,internal,,466917.351960052,nested
black,reprlib,stdlib,black.debug,106058.33215674953,nested
black,dataclasses,stdlib,black.debug,93620.86573332243,nested
black,inspect,stdlib,black.debug,82639.03545106709,nested
black,typing,stdlib,black.debug,89571.42101882643,nested
black,annotationlib,stdlib,black.debug,83903.54258162956,nested
black,black.debug,internal,,11124.155018456899,flat
black,black.parsing,internal,,885241.1357616144,nested
black,logging,stdlib,black.parsing,52575.744984347184,nested
black,typing,stdlib,black.parsing,42299.247287632264,nested
black,ast,stdlib,black.parsing,6944.66618934581,nested
black,_py_warnings,stdlib,black.parsing,51367.03237656926,nested
black,warnings,stdlib,black.parsing,48672.93483391784,nested
black,contextlib,stdlib,black.parsing,177713.56749183335,nested
black,enum,stdlib,black.parsing,29025.905332175575,nested
black,black.parsing,internal,,476642.0372657932,flat
black,black.strings,internal,,708301.423191907,nested
black,re,stdlib,black.strings,119717.983403955,nested
black,pathlib,stdlib,black.strings,83877.34469335602,nested
black,enum,stdlib,black.strings,46408.49145354969,nested
black,_pytest,external,black.strings,85437.50092067022,nested
black,annotationlib,stdlib,black.strings,74082.57287165384,nested
black,functools,stdlib,black.strings,98298.40586563651,nested
black,typing,stdlib,black.strings,72980.82869384691,nested
black,fnmatch,stdlib,black.strings,72852.51619098733,nested
black,black.strings,internal,,54645.77909825146,flat
black,black.trans,internal,,730431.2081360689,nested
black,annotationlib,stdlib,black.trans,105982.14265940944,nested
black,typing,stdlib,black.trans,75354.4622909682,nested
black,dataclasses,stdlib,black.trans,88824.39949380103,nested
black,reprlib,stdlib,black.trans,68488.88016525122,nested
black,_pytest,external,black.trans,75389.46199272355,nested
black,pathlib,stdlib,black.trans,72208.29908324056,nested
black,pluggy,external,black.trans,108543.00741209398,nested
black,fnmatch,stdlib,black.trans,28220.770218128742,nested
black,re,stdlib,black.trans,23514.4983909151,nested
black,black.trans,internal,,83905.2864295371,flat
black,black.cache,internal,,1611424.534863529,nested
black,re,stdlib,black.cache,212510.87580803627,nested
black,_pytest,external,black.cache,70397.40138376452,nested
black,platformdirs,external,black.cache,99988.26630442664,nested
black,dataclasses,stdlib,black.cache,94937.51795692126,nested
black,pluggy,external,black.cache,94413.19497471221,nested
black,pathlib,stdlib,black.cache,87637.33258711938,nested
black,fnmatch,stdlib,black.cache,73856.60699608174,nested
black,configparser,stdlib,black.cache,92314.34786466192,nested
black,typing,stdlib,black.cache,66586.71873742342,nested
black,inspect,stdlib,black.cache,71687.92713179161,nested
black,collections,stdlib,black.cache,92180.83803573021,nested
black,enum,stdlib,black.cache,90708.14531251573,nested
black,functools,stdlib,black.cache,96148.57645195843,nested
black,tempfile,stdlib,black.cache,137908.37153456197,nested
black,hashlib,stdlib,black.cache,35058.71496692922,nested
black,annotationlib,stdlib,black.cache,77110.10224273404,nested
black,reprlib,stdlib,black.cache,30601.35044787257,nested
black,_compat_pickle,stdlib,black.cache,33559.478132396885,nested
black,pickle,stdlib,black.cache,44888.312313414586,nested
black,black.cache,internal,,8930.455680475965,flat
black,black.handle_ipynb_magics,internal,,1384456.8253733083,nested
black,inspect,stdlib,black.handle_ipynb_magics,103254.57357636261,nested
black,hmac,stdlib,black.handle_ipynb_magics,74932.50624197778,nested
black,dataclasses,stdlib,black.handle_ipynb_magics,189161.9703616116,nested
black,annotationlib,stdlib,black.handle_ipynb_magics,97655.78642938794,nested
black,_pytest,external,black.handle_ipynb_magics,95326.19507536867,nested
black,pathlib,stdlib,black.handle_ipynb_magics,67658.60415116402,nested
black,fnmatch,stdlib,black.handle_ipynb_magics,68510.34189531424,nested
black,pluggy,external,black.handle_ipynb_magics,89123.80964388605,nested
black,typing,stdlib,black.handle_ipynb_magics,96645.28672114636,nested
black,re,stdlib,black.handle_ipynb_magics,97236.89499409923,nested
black,enum,stdlib,black.handle_ipynb_magics,100179.17110834789,nested
black,secrets,stdlib,black.handle_ipynb_magics,96450.31269017184,nested
black,reprlib,stdlib,black.handle_ipynb_magics,71913.46035333903,nested
black,random,stdlib,black.handle_ipynb_magics,67398.02062393934,nested
black,functools,stdlib,black.handle_ipynb_magics,59603.45602226112,nested
black,black.handle_ipynb_magics,internal,,9406.435484930334,flat
black,black.output,internal,,784371.573777108,nested
black,difflib,stdlib,black.output,74563.14909608611,nested
black,re,stdlib,black.output,74685.04297084978,nested
black,click,external,black.output,93526.03628474842,nested
black,tempfile,stdlib,black.output,119586.63967726161,nested
black,mypy_extensions,external,black.output,87043.46946494233,nested
black,typing,stdlib,black.output,86492.13895357146,nested
black,enum,stdlib,black.output,123859.66566837547,nested
black,encodings,stdlib,black.output,116478.15211168192,nested
black,black.output,internal,,8137.279549590952,flat
black,black.numerics,internal,,42291.83417541031,nested
black,black.numerics,internal,,42291.83417541031,flat
black,black.concurrency,internal,,3041917.083025042,nested
black,multiprocessing,stdlib,black.concurrency,966926.4630528657,nested
black,signal,stdlib,black.concurrency,213860.29104352184,nested
black,asyncio,stdlib,black.concurrency,236629.04177623065,nested
black,hmac,stdlib,black.concurrency,78179.81880708825,nested
black,pathlib,stdlib,black.concurrency,98196.81579650477,nested
black,enum,stdlib,black.concurrency,164374.38874381606,nested
black,concurrent,stdlib,black.concurrency,82032.76860643887,nested
black,tempfile,stdlib,black.concurrency,53107.36305287418,nested
black,selectors,stdlib,black.concurrency,131590.9773207908,nested
black,functools,stdlib,black.concurrency,21517.513900878817,nested
black,threading,stdlib,black.concurrency,76665.88735485764,nested
black,_pytest,external,black.concurrency,251354.8090268924,nested
black,logging,stdlib,black.concurrency,203451.82647877172,nested
black,socket,stdlib,black.concurrency,187202.19485332735,nested
black,traceback,stdlib,black.concurrency,137622.43905018317,nested
black,textwrap,stdlib,black.concurrency,136156.0911786258,nested
black,black.concurrency,internal,,3048.392981374835,flat
black,black.rusty,internal,,87483.52227217332,nested
black,typing,stdlib,black.rusty,62428.64596301689,nested
black,black.rusty,internal,,25054.87630915643,flat
black,black._width_table,internal,,111412.98328411342,nested
black,black._width_table,internal,,111412.98328411342,flat
requests,requests.models,internal,,3290825.527421588,nested
requests,urllib,stdlib,requests.models,230821.2841053295,nested
requests,pathlib,stdlib,requests.models,227155.80790913754,nested
requests,stringprep,stdlib,requests.models,225946.28770962413,nested
requests,_pytest,external,requests.models,225004.13735801182,nested
requests,socket,stdlib,requests.models,196120.03986722708,nested
requests,urllib3,external,requests.models,221786.45164991304,nested
requests,encodings,stdlib,requests.models,212592.11382460326,nested
requests,charset_normalizer,external,requests.models,366529.4057120038,nested
requests,pluggy,external,requests.models,229778.39922086074,nested
requests,re,stdlib,requests.models,282520.51695037173,nested
requests,typing,stdlib,requests.models,210523.7782172803,nested
requests,fnmatch,stdlib,requests.models,205189.6969566723,nested
requests,http,stdlib,requests.models,186996.5148310805,nested
requests,threading,stdlib,requests.models,210567.13542486916,nested
requests,requests.models,internal,,59293.95768460365,flat
requests,requests.compat,internal,,7632029.834130949,nested
requests,re,stdlib,requests.compat,2325800.5145702465,nested
requests,pathlib,stdlib,requests.compat,995278.6280314861,nested
requests,fnmatch,stdlib,requests.compat,283305.47230449016,nested
requests,encodings,stdlib,requests.compat,569557.8095161554,nested
requests,enum,stdlib,requests.compat,305612.438079132,nested
requests,charset_normalizer,external,requests.compat,408739.93649219995,nested
requests,_pytest,external,requests.compat,551182.243446512,nested
requests,calendar,stdlib,requests.compat,232173.38143865473,nested
requests,http,stdlib,requests.compat,262842.3701262083,nested
requests,pluggy,external,requests.compat,233964.36011248158,nested
requests,urllib,stdlib,requests.compat,240842.99278358454,nested
